ParticipantId,gender,age,race,ethnicity,education,household_income,relationship_marital_status,employment_status,state_of_residence
062AA6EFA57B4FF2A6B6E8479B632B94,Man,40,Korean,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$250,000 or more",Single,Full-time,Georgia
0638D16541494716AE68D3E4A07457BF,Man,31,White,"Yes, Mexican, Mexican Am., Chicano","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$80,000-$89,999",Married,Part-time,NULL
0660BC35F9D84A76AD94D044AB3E2F03,Woman,53,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$30,000-$39,999",Single,"Not in paid work (e.g., homemaker, disabled)",Delaware
06A79881A79D4E1CA265E2B847F7A5F4,Man,24,White,"Yes, Mexican, Mexican Am., Chicano","Some college, but no degree","$50,000-$59,999",In a civil union/partnership,Full-time,Texas
06D0A0B7823B4E6BBFEFA270E8EEB2F7,Woman,31,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$70,000-$79,999",In a relationship,Full-time,Arizona
06EA0644EBFB48779E0BD67631F65F39,Woman,40,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$10,000-$19,999",Single,"Not in paid work (e.g., homemaker, disabled)",New York
06F78509DDCF4F4A9E71E927B800BD82,Man,33,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$20,000-$29,999",Married,Full-time,Arizona
071171419FBB419EBACD0180AA1EAD2D,Man,25,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$90,000-$99,999",Single,Full-time,Arizona
071B012579FF4EEBB3BCA50719E1A40F,Woman,25,Black or African American,"Yes, Mexican, Mexican Am., Chicano","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$100,000-$124,999",Single,Full-time,Illinois
0733FF06AD3546A6BCC7A9CA4D996427,Woman,39,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$60,000-$69,999",In a relationship,Part-time,Minnesota
074319D7838A4620AC283635EBA30D3C,Woman,46,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$20,000-$29,999",Married,Full-time,Wyoming
074A1C2E60F245C0A0873ADBD8F6DF8B,Man,38,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$70,000-$79,999",Married,Full-time,Texas
07523332618D4AE4AE94908E956B8799,Woman,39,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$70,000-$79,999",In a relationship,Part-time,Ohio
077EBB20179F4DDF9DA032AF2B7EE4F4,Man,26,Vietnamese,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","Less than $10,000",In a relationship,Unemployed,Florida
078D6C0971DC4DF992E9528AD500969F,Woman,43,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$200,000-$224,999",Married,Full-time,Wisconsin
07B408114B4545CA8B587B7E09BF1A01,Woman,62,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$150,0000-$174,999",Married,Full-time,Florida
07CB55A4B0EF4F969562F92636F194C4,Woman,18,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$150,0000-$174,999",Single,Student,Kentucky
08118FE4A7504A34B93DEC7B88ED4EB6,Man,47,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$250,000 or more",Married,Full-time,Georgia
081C478370F54DABBF6F76F47BC7FD67,Woman,44,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$70,000-$79,999",Married,Full-time,New York
08384FE1523E41528B20E2C37BE811AC,Woman,25,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$30,000-$39,999",In a relationship,Unemployed,Florida
0870B39E7CB348DBB74699311458D574,Man,27,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$90,000-$99,999",Single,Business Owner,North Carolina
08867740B06B4A9B8408C348F9A3AA09,Prefer not to say,21,Black or African American,Prefer not to say,"Bachelor's degree (for example: BA, AB, BS)","$10,000-$19,999",Single,Student,New Jersey
089660F0CC9342DD8B346ADBBCF0DA74,Man,51,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",Divorced,Full-time,Texas
089D82A5517A4F8DBE81B68F9B619986,Woman,65,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$40,000-$49,999",Single,Retired,California
08B550F7A9804A5E86AB5236758A323C,Man,32,Korean,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$175,000-$199,999",Married,Full-time,New York
090000DA707142A38385C7A44E31677D,Man,22,Black or African American,"Yes, Puerto Rican",High school graduate - high school diploma or the equivalent (for example: GED),"$40,000-$49,999",Single,Unemployed,Illinois
090C2C2C579C410ABB7E60595B30EA2B,Man,29,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$70,000-$79,999",In a relationship,Full-time,New York
09228F2CD6294CF1AEA7171816AABA1F,Man,63,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$175,000-$199,999",Married,Full-time,New York
092CCF726DDF453FBF5CB6172C7A7987,Man,39,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$20,000-$29,999",In a relationship,Full-time,North Carolina
09804C26E1FD4C718AE81F0720A2B530,Woman,44,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$40,000-$49,999",Single,Part-time,Illinois
098F41CFB27E489E9FB7B2BC628C94D3,Woman,37,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",Single,Full-time,Illinois
09DE52E0D4FA438FA7604C64DC26BC1B,Woman,41,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$150,0000-$174,999",Married,Full-time,Washington
09EFBDA9CEE54220897289B04F25FCB1,Man,23,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$90,000-$99,999",Single,Unemployed,New York
09F8069A3FB74F4FAA9BAAE47F366173,Man,40,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$30,000-$39,999",In a relationship,Unemployed,Ohio
0AA37D5D01BA4B76A3FF64C0B1F49B70,Man,37,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$225,000-$249,999",Married,Full-time,NULL
0AAAF5A90BE94134BA67E17D5C757684,Woman,29,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$80,000-$89,999",In a relationship,Full-time,Massachusetts
0AAD4CD09FC24CBEB6DC8A76A4D6A3F0,Woman,23,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",In a relationship,Full-time,Florida
0AFC8075954343C9939BEAAD2E48C7DE,Man,36,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$20,000-$29,999",Single,Part-time,Florida
0B12E825726F49BCB5F56F62C40870D4,Man,33,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$150,0000-$174,999",Married,Full-time,Alabama
0B23D5D9AACA4AFD9227F5D0EFE58EEA,Man,48,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$80,000-$89,999",Married,Full-time,Tennessee
0B73691B78694428A89DC54000E21248,Woman,46,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$100,000-$124,999",Married,Business Owner,Missouri
0B82D3E1CCFC4BD6979FF97C94AD7AEE,Man,33,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$10,000-$19,999",Single,"Not in paid work (e.g., homemaker, disabled)",Michigan
0B8559F4E73E445AABCFDB016A4A374F,Woman,60,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",Married,"Not in paid work (e.g., homemaker, disabled)",Alaska
0B8D09A73ED140CF84C5320DAE27F350,Man,65,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$10,000-$19,999",Single,Retired,Florida
0B912B6B2279490E8F137A6EF759DE77,Man,34,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$20,000-$29,999",In a relationship,Full-time,Ohio
0B95ACD495CD48998EAC25E0558322C9,Man,41,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$20,000-$29,999",In a relationship,Full-time,California
0B97FA950789450AA070261124D188E7,Man,36,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$10,000-$19,999",In a relationship,Part-time,Ohio
0BA66FB40A324FCDB1E3E79F2CE76035,Woman,42,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$10,000-$19,999",Single,Full-time,Virginia
0BBD2B422E1244998DFC59649560730B,Man,23,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"Less than $10,000",Single,Student,Oklahoma
0BC2CA097EC04C0C8857A0ADA2469C09,Man,27,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$40,000-$49,999",Single,Part-time,Illinois
0C045E44B6AD44129157F4C5DC2C5BE2,Man,44,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$30,000-$39,999",Married,"Not in paid work (e.g., homemaker, disabled)",Virginia
0C2812C24C2B4C7AB352B4C0AF05ECDD,Man,42,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$100,000-$124,999",Married,Full-time,Texas
0CC1434FA3D54A91AC263651FD0836F5,Man,35,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$10,000-$19,999",Single,Unemployed,Alaska
0CD38BFF5FF346609DE69EFEBC5E6679,Woman,53,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$80,000-$89,999",Married,Full-time,Florida
0CD5A01591584DE1940F418669198AEB,Man,30,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$30,000-$39,999",Single,Full-time,Florida
0D4573619FE44AFBA261F7767D276C07,Man,38,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$100,000-$124,999",Single,Full-time,Pennsylvania
0DEC234AE3F94DEABD93FC73FB4A1238,Man,30,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$30,000-$39,999",Married,Part-time,New York
0E0A1452864C4A15932E3B01BD881A44,Woman,35,An ethnicity not listed here,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",In a civil union/partnership,Full-time,Colorado
0E0F45A43A944D4DB5BB7DA091675FDC,Woman,33,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$150,0000-$174,999",Married,Full-time,Massachusetts
0E26B8F9D6E8448E9674F827A34DB1EA,Man,20,Other,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$125,000-$149,999",Single,Student,California
0E459E9B027D4629BF6C5ADF21124E39,Woman,31,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$80,000-$89,999",Married,Full-time,Washington
0E951AEAFD514FFB867CEA6B9716E6EF,Man,50,White,"Yes, Mexican, Mexican Am., Chicano","Some college, but no degree","$80,000-$89,999",Married,Full-time,Texas
0EDC1DCFD01143D584D00F56B204988B,Woman,26,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$70,000-$79,999",Divorced,Full-time,Kentucky
0F053A8AA2C645399D2C06CEED05C28F,Woman,70,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$50,000-$59,999",Married,Part-time,Maryland
0F07CDB90B904FB79C385106E46337DE,Man,28,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$70,000-$79,999",Single,Full-time,Ohio
0F2E0CA76F7741D2B5D9B4957E7A7D52,Man,24,White,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)","Bachelor's degree (for example: BA, AB, BS)","$90,000-$99,999",In a relationship,Full-time,California
0F413487254A4CA398144557EBBB7D3D,Woman,48,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$90,000-$99,999",In a relationship,Part-time,California
0F4CC486FCEF48E99DE6DDCDCB734089,Woman,40,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$80,000-$89,999",Married,Full-time,Missouri
0F6854669C624B648E9113A4589855E6,Woman,35,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",Single,Full-time,Kentucky
0FD2FE3A81B944F998CFBA7227EED4F1,Man,47,White,"No, not of Hispanic, Latino, or Spanish origin",Less than a high school diploma,"$40,000-$49,999",Single,Unemployed,Ohio
1004F59CA6B54CDB80305FF89E757044,Man,24,White,"No, not of Hispanic, Latino, or Spanish origin","Professional degree (for example: MD, DDS, DVM, LLB, JD)","$100,000-$124,999",In a relationship,Full-time,NULL
106A4BC8C3D54834A2DF3C58110D3175,Man,40,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$225,000-$249,999",Married,Full-time,Ohio
1074DEABAAD0477695106E56171A29F7,Woman,23,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$10,000-$19,999",Single,Full-time,Louisiana
109683F3D7E1447DA176A5857EE46F6B,Woman,64,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$30,000-$39,999",Single,Retired,NULL
10C5551EC04C44CC8727C8661D9CFBCC,Woman,22,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$100,000-$124,999",In a relationship,Student,Georgia
10F8DDBEA1F9494FB42940DEAE44DCEC,Woman,48,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$50,000-$59,999",Married,"Not in paid work (e.g., homemaker, disabled)",Arkansas
10F9EB571E8F4893B63292EDAB04F3A0,Man,30,White,"Yes, Mexican, Mexican Am., Chicano",High school graduate - high school diploma or the equivalent (for example: GED),"$100,000-$124,999",Single,Full-time,Texas
1105F280E99348E591456C83703A3BBF,Man,31,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$200,000-$224,999",Married,Full-time,Texas
111B9C01B7A24FB1BA760C980D409019,Man,48,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$150,0000-$174,999",Married,Full-time,Indiana
11319C7D9BA5481EB6E3A203E4F4B3BB,Woman,43,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$70,000-$79,999",Widowed,Part-time,Texas
11640250C0F24570AC6C1FA6AC575E09,Woman,25,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$40,000-$49,999",Single,Part-time,California
11675984EA2745BDA985855DDDF7788E,Man,57,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$50,000-$59,999",In a relationship,Full-time,Arizona
119ED95CC62A49DD9EEF4B30FB69BD8D,Woman,49,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$40,000-$49,999",Married,Full-time,New Mexico
11B81F6446A94E08AF28E72C4D9FD008,Man,32,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$30,000-$39,999",Single,Full-time,Michigan
11C928CBCF6C4661BD61754FE522A9B4,Woman,43,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)",Prefer not to say,Single,Part-time,California
11D6AF61B25E41388C456EB41EB024BE,Woman,45,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$50,000-$59,999",Married,"Not in paid work (e.g., homemaker, disabled)",New York
12076A45802B405BB00ABBFBB67729E0,Man,50,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$60,000-$69,999",Divorced,Full-time,Florida
1222B74FC50A454EAB94E8338C89EB4B,Man,33,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$90,000-$99,999",Single,Part-time,California
12B1101FAE014260BFD3FC6ACF33BAFA,Additional gender category/identity not listed,29,An ethnicity not listed here,Prefer not to say,"Bachelor's degree (for example: BA, AB, BS)","Less than $10,000",Single,Prefer not to say,Georgia
1304BAAAAFA04DEE959F8EC00A5E49F6,Woman,32,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$60,000-$69,999",I’d Rather Not Say,Full-time,New York
1320334E05CD4D0C9CB11DDD7F5A88E5,Man,44,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$80,000-$89,999",Married,Part-time,Texas
136F7678AE57410B98A1407A7558193A,Woman,27,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$30,000-$39,999",Married,Unemployed,West Virginia
1485603DA1B84D6DB8EDA242CF1A10DC,Man,19,Asian Indian,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree",Prefer not to say,Single,Student,New Jersey
14936BCF874242D5927D7D46980EA717,Woman,34,White,"No, not of Hispanic, Latino, or Spanish origin","Doctorate degree (for example: PhD, EdD)","$10,000-$19,999",Married,Full-time,Florida
1493A7BAEEF346F680E3F196BB72272A,Woman,32,Black or African American,"Yes, Puerto Rican",Less than a high school diploma,"Less than $10,000",Single,Part-time,Georgia
149A52792BED44CBB0251676B7D236F7,Man,27,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$100,000-$124,999",In a relationship,Full-time,Colorado
14A935C873804DC38902F3900DF28F8E,Man,32,An ethnicity not listed here,"Yes, Mexican, Mexican Am., Chicano","Associate degree (for example: AA, AS)","$40,000-$49,999",In a relationship,Full-time,Iowa
14AC26F60640419982870C6396588A13,Woman,42,White,"Yes, Mexican, Mexican Am., Chicano",High school graduate - high school diploma or the equivalent (for example: GED),"$40,000-$49,999",Single,"Not in paid work (e.g., homemaker, disabled)",Florida
14C16088DA3C4CBA8F3AB3133A82DF73,Man,20,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$90,000-$99,999",Single,Student,Nevada
14F6E1C5489244FCA53EEA52723D184B,Woman,38,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$30,000-$39,999",Single,Part-time,New York
14FAB1BF5EE241F4AC1E2B8279B866AA,Man,45,White,"No, not of Hispanic, Latino, or Spanish origin","Doctorate degree (for example: PhD, EdD)","$125,000-$149,999",Married,Full-time,Texas
1501C5CE8BBE4B789CD17DD9FDB6A737,Man,18,Black or African American,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$100,000-$124,999",Single,Part-time,Illinois
1519EB608DD74D1B82384DD9C35A822B,Man,48,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$80,000-$89,999",In a relationship,Full-time,North Carolina
15320287CE574BA982689DD555E81480,Man,51,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$40,000-$49,999",In a relationship,Full-time,Alabama
1542E6F75D704E3BA0D5726CF3CA1F43,Man,41,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$20,000-$29,999",Single,Part-time,Florida
154EFE492C03495AB7D6D6F9B8017FA4,Woman,69,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$20,000-$29,999",Married,Retired,California
15C8263230854EBF89DCB88DF3696FBC,Man,41,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$10,000-$19,999",Single,Unemployed,California
15FB8938DB8B4885A5A995ABADB04697,Woman,36,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$150,0000-$174,999",Married,Part-time,Texas
1612C8A4DD6048458F89D711FDF87FBB,Woman,44,White,"No, not of Hispanic, Latino, or Spanish origin","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","$225,000-$249,999",Married,Business Owner,Pennsylvania
162516ED24D648ECBCCE91357F26DC77,Man,31,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","Less than $10,000",Single,Part-time,New York
162E3F2DB6784842857FD9209FDCA555,Woman,28,An ethnicity not listed here,"Yes, Puerto Rican","Some college, but no degree","$60,000-$69,999",Married,"Not in paid work (e.g., homemaker, disabled)",Illinois
