ParticipantId,StartTime (Asia/Shanghai),CompletionTime (Asia/Shanghai),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Country Of Residence,Age,Education,Sex,English Language,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Political Ideology,Gender,Voter Registration,Personal Income,Household Income,Sexual Orientation,Race,U.S. Citizenship,Employment Status,Transgender
6140C363C73D40E0928DE1467073008B,01/09/2024 03:33:40 PM,01/09/2024 03:35:06 PM,Redirect,,0,0,0,Pending,United States,33,"Some college, but no degree",Male,Yes,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"$50,000-$59,999","$50,000-$59,999",Heterosexual,White,Yes,Part-time,No
5D6C4FD0DC164D6BB56979069ACFDD49,01/09/2024 03:34:04 PM,01/09/2024 03:53:25 PM,Redirect,,0,0,0,Pending,United States,24,"Some college, but no degree",Male,Yes,Other,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"$30,000-$39,999","$30,000-$39,999",Heterosexual,Asian Indian,Yes,Part-time,No
93E2CFED68164DBFAF8C9EE0BE15CAAD,01/09/2024 03:34:20 PM,01/09/2024 03:40:31 PM,Redirect,,0,0,0,Pending,United States,49,"Bachelor's degree (for example: BA, AB, BS)",Male,No,"Science, Technology, Engineering & Mathematics",In a civil union/partnership,Independent,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Man,Yes,"$90,000-$99,999","$90,000-$99,999",Heterosexual,Other,Yes,Full-time,No
6CB3CE6A5D3C428F99630BDB3E9B5BED,01/09/2024 03:34:44 PM,01/09/2024 03:36:46 PM,Redirect,,0,0,0,Pending,United States,40,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Yes,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Woman,Yes,"$60,000-$69,999","$60,000-$69,999",Heterosexual,White,Yes,Full-time,No
B8837FA27F2A469DB352A42C963C3223,01/09/2024 03:34:53 PM,01/09/2024 03:40:05 PM,Redirect,,0,0,0,Pending,United States,27,"Bachelor's degree (for example: BA, AB, BS)",Male,Yes,Information Technology,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Man,Yes,"$70,000-$79,999","$90,000-$99,999",Heterosexual,Other,Yes,Full-time,No
01D7025D80B743ABA0E82D976A3742B1,01/09/2024 03:35:18 PM,01/09/2024 03:42:09 PM,Redirect,,0,0,0,Pending,United States,32,High school graduate - high school diploma or the equivalent (for example: GED),Female,Yes,Other,Single,Independent,"Yes, Mexican, Mexican Am., Chicano",Somewhat Liberal,Woman,"No, but I am eligible to vote.",Prefer not to say,Prefer not to say,Bisexual,An ethnicity not listed here,Yes,"Not in paid work (e.g., homemaker, disabled)",No
63AC24D17A154840AB7F3D2976A30949,01/09/2024 03:35:38 PM,01/09/2024 03:38:05 PM,Redirect,,0,0,0,Pending,United States,43,"Some college, but no degree",Male,Yes,Marketing and Sales,Divorced,Independent,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Man,Yes,"$20,000-$29,999","$40,000-$49,999",Heterosexual,White,Yes,Business Owner,No
A0D00061575B499A8080DBF3CACA6A08,01/09/2024 03:37:12 PM,01/09/2024 03:46:26 PM,Redirect,,0,0,0,Pending,United States,33,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Yes,Finance,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Woman,Yes,"$50,000-$59,999","$90,000-$99,999",Bisexual,Black or African American,Yes,Part-time,No
4C5ADFF2AA634A06940CA88E0E2A20A6,01/09/2024 03:38:58 PM,01/09/2024 03:42:46 PM,Redirect,,0,0,0,Pending,United States,49,"Some college, but no degree",Male,Yes,Retired,Divorced,Republican,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Man,Yes,"$50,000-$59,999","$50,000-$59,999",Heterosexual,White,Yes,Retired,No
23EB7891621447268A92919CB45C6991,01/09/2024 03:39:28 PM,01/09/2024 03:41:56 PM,Redirect,,0,0,0,Pending,United States,35,High school graduate - high school diploma or the equivalent (for example: GED),Male,Yes,Architecture and Construction,Married,Republican,"Yes, Mexican, Mexican Am., Chicano",Conservative,Man,Yes,"$50,000-$59,999","$50,000-$59,999",Heterosexual,White,Yes,Full-time,No
9AD0C4D99F6C493A9F9DB7A60B1F3295,01/14/2024 01:47:43 PM,01/14/2024 01:59:26 PM,Redirect,,0,0,0,Pending,United States,19,"Some college, but no degree",Female,Yes,"Science, Technology, Engineering & Mathematics",In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Woman,Yes,"Less than $10,000","$90,000-$99,999",Asexual,Black or African American,Yes,Student,No
9BBB87C0AD314271B227095D7F0B0FAB,01/14/2024 01:48:00 PM,01/14/2024 01:51:20 PM,Redirect,,0,0,0,Pending,United States,45,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Yes,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Man,Yes,"$100,000-$124,999","$125,000-$149,999",Heterosexual,White,Yes,Full-time,No
F26D571E5EF143E68D7E1AAF2CB4A8C8,01/14/2024 01:48:07 PM,01/14/2024 01:53:08 PM,Redirect,,0,0,0,Pending,United States,60,"Bachelor's degree (for example: BA, AB, BS)",Female,Yes,Business Management & Administration,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Woman,Yes,"$50,000-$59,999","$50,000-$59,999",Homosexual,White,Yes,Business Owner,No
0ED83422D6474D4FB61C995A7C79559B,01/14/2024 01:48:09 PM,01/14/2024 01:53:42 PM,Redirect,,0,0,0,Pending,United States,55,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Yes,Information Technology,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"$100,000-$124,999","$150,0000-$174,999",Bisexual,White,Yes,Full-time,No
8DF4E55620684531A2B8124EC23DAE11,01/14/2024 01:49:01 PM,,,,0,0,0,Returned,United States,18,High school graduate - high school diploma or the equivalent (for example: GED),Male,Yes,I’d Rather Not Say,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Man,"No, but I am eligible to vote.","Less than $10,000","$100,000-$124,999",Heterosexual,White,Yes,Student,No
573A511F66284279B70754406ED46949,01/14/2024 01:49:12 PM,01/14/2024 01:57:04 PM,Redirect,,0,0,0,Pending,United States,34,"Some college, but no degree",Male,Yes,Retail,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Man,Yes,"$40,000-$49,999","$40,000-$49,999",Heterosexual,White,Yes,Full-time,No
36621197B8EA438B96A9513AC20D7DDD,01/14/2024 01:49:43 PM,01/14/2024 02:04:53 PM,Redirect,,0,0,0,Pending,United States,58,"Some college, but no degree",Female,Yes,Retail,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Woman,Yes,"$30,000-$39,999","$30,000-$39,999",Heterosexual,White,Yes,Full-time,No
A5B7A9C9811C401EB0D6610CAA6D867F,01/14/2024 01:49:54 PM,01/14/2024 01:52:49 PM,Redirect,,0,0,0,Pending,United States,71,"Doctorate degree (for example: PhD, EdD)",Male,Yes,Information Technology,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Man,Yes,"$125,000-$149,999","$125,000-$149,999",Heterosexual,White,Yes,Full-time,No
3CCA42D4996F475FAD6F438AFBC842EE,01/14/2024 01:49:59 PM,01/14/2024 01:52:34 PM,Redirect,,0,0,0,Pending,United States,30,"Some college, but no degree",Male,Yes,Other,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Man,Yes,"Less than $10,000","Less than $10,000",Heterosexual,White,Yes,Business Owner,No
0F8F309B96464B85B860E8D4F8F32BF8,01/14/2024 01:50:14 PM,01/14/2024 01:53:07 PM,Redirect,,0,0,0,Pending,United States,37,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Yes,Medicine,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Man,Yes,"$100,000-$124,999","$100,000-$124,999",Heterosexual,Vietnamese,Yes,Full-time,No
78D237079BFA483B8892E98A6C78CF19,01/14/2024 01:50:19 PM,01/14/2024 02:05:49 PM,Redirect,,0,0,0,Pending,United States,28,"Some college, but no degree",Male,Yes,Information Technology,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"$30,000-$39,999","$30,000-$39,999",Bisexual,Black or African American,Yes,Student,No
F97CB49AD42B45039635662F6357F4FE,01/14/2024 01:50:21 PM,01/14/2024 01:56:50 PM,Manual,Manually Submitted,0,0,0,Pending,United States,24,High school graduate - high school diploma or the equivalent (for example: GED),Female,Yes,Other,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Woman,Yes,"$10,000-$19,999","$100,000-$124,999",Heterosexual,White,Yes,Part-time,No
E8386FBF82564959808E3CBA97DFFC10,01/14/2024 01:50:22 PM,01/14/2024 01:53:05 PM,Redirect,,0,0,0,Pending,United States,32,High school graduate - high school diploma or the equivalent (for example: GED),Male,Yes,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"Less than $10,000","Less than $10,000",Heterosexual,White,Yes,Unemployed,No
E46D7A0406C843309BBC7A16E2F896B0,01/14/2024 01:55:15 PM,01/14/2024 02:00:14 PM,Redirect,,0,0,0,Pending,United States,75,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Yes,Retired,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Woman,Yes,"$40,000-$49,999","$100,000-$124,999",Heterosexual,White,Yes,Retired,No
204AEB81228D4911B19E71F42197FEAF,01/14/2024 01:57:04 PM,01/14/2024 01:59:42 PM,Redirect,,0,0,0,Pending,United States,40,"Bachelor's degree (for example: BA, AB, BS)",Male,Yes,Medicine,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Man,Yes,"$70,000-$79,999","$70,000-$79,999",Heterosexual,White,Yes,Full-time,No
3CBB2F3E59274B73B475844BFB92B3B5,01/14/2024 01:59:40 PM,01/14/2024 02:03:34 PM,Redirect,,0,0,0,Pending,United States,56,"Some college, but no degree",Female,Yes,Retail,In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Woman,Yes,Prefer not to say,"$90,000-$99,999",Heterosexual,White,Yes,Part-time,No
999F2F936AED4B91A498E2945D76235C,01/14/2024 02:03:32 PM,01/14/2024 02:06:40 PM,Manual,Manually Submitted,0,0,0,Pending,United States,34,"Some college, but no degree",Male,Yes,Other,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Man,Yes,"$100,000-$124,999","$100,000-$124,999",Heterosexual,White,Yes,Full-time,No
AF490B61965E48C18F2E6FA04077A84D,01/14/2024 02:04:23 PM,01/14/2024 02:08:38 PM,Redirect,,0,0,0,Pending,United States,32,"Bachelor's degree (for example: BA, AB, BS)",Male,Yes,"Transportation, Distribution & Logistics",Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Man,Yes,"$50,000-$59,999","$50,000-$59,999",Heterosexual,White,Yes,Full-time,No
5AA0D8820B684BDCB0B9D1585467496B,01/14/2024 02:06:43 PM,01/14/2024 02:10:01 PM,Redirect,,0,0,0,Pending,United States,21,"Some college, but no degree",Male,Yes,"Transportation, Distribution & Logistics",In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Man,Yes,"$20,000-$29,999","$20,000-$29,999",Heterosexual,White,Yes,Part-time,No
578DD62BE20C4413BFD89549C6ABAD19,01/14/2024 02:06:54 PM,01/14/2024 02:15:01 PM,Redirect,,0,0,0,Pending,United States,31,"Associate degree (for example: AA, AS)",Female,Yes,Other,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Woman,Yes,"$60,000-$69,999","$100,000-$124,999",Heterosexual,White,Yes,"Not in paid work (e.g., homemaker, disabled)",No
310D85718C474C57A86502E4E94A0A50,01/14/2024 02:10:14 PM,01/14/2024 02:16:41 PM,Redirect,,0,0,0,Pending,United States,32,"Bachelor's degree (for example: BA, AB, BS)",Male,Yes,Retail,Single,Democrat,"Yes, Puerto Rican",Somewhat Liberal,Man,Yes,"$80,000-$89,999","$80,000-$89,999",Homosexual,White,Yes,Business Owner,No
